Input,Output
Bagaimana cara mengubah password akun saya?,Layanan Pelanggan
Bagaimana cara mengakses sertifikat kursus yang sudah selesai?,Layanan Pelanggan
"Saya sudah bayar, tapi kursus belum aktif.",Layanan Pelanggan
Ada kesalahan penjelasan di modul Machine Learning bagian clustering,Pengembangan Kurikulum
Materi di kursus Python sudah outdated,Pengembangan Kurikulum
Beberapa link referensi di modul sudah tidak berfungsi,Pengembangan Kurikulum
Video pembelajaran tidak bisa diputar,IT Developer
Platform error saat mengerjakan quiz,IT Developer
Aplikasi crash ketika membuka halaman diskusi,IT Developer
Apakah ada diskon untuk kursus Data Science?,Pemasaran
Kapan bundle course akan tersedia lagi?,Pemasaran
Informasi program referral untuk member,Pemasaran
Saya kesulitan menjelaskan konsep Neural Network ke siswa,Dukungan Pengajar
Butuh bantuan untuk menyusun assessment yang efektif,Dukungan Pengajar
Tool apa yang cocok untuk mengajar programming secara online?,Dukungan Pengajar
